card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
c03-02 Riker 01,Second Contact,Riker,Captain,William T. Riker,"Starfleet
Human","Captain
---
Away Teams: 4
---
Activation - Put a card on the top of your deck to draw a card of teh same suit from your Discard pile.
---
Activation - Action: Take an Incident to send an Away Team to a Location. If you targeted a controlled Location, you may spend 1 Latinum to trigger that card's control operation.",-,Military
c03-02 Riker 02,Second Contact,Riker,Ship,U.S.S. Titan,Starfleet,"Deployed
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.","Military
Wild",-
c03-02 Riker 03,Second Contact,Riker,Location,Nepenthe,-,"Development - Cost: Log a deployed Ship.
---
Play - Exhaust your Captain to take control of this location.
---
Control - You may scan for a Synthetic.
---
Activation - Log a card from your hand or Discard pile. You may return an Incident from the same place. If the logged card is Android, gain 3 Glory.
---
Endgame - Requires 9 Research: Score 3.",-,Endgame
c03-02 Riker 04,Second Contact,Riker,Directive,Solving Science Mysteries,Ongoing,"Development - Cost: 2 Dilithium for every Military level.
---
Play - Free: Take an Incident to deploy this card.
---
Play - Action: Spend 4 Dilithium to scan for a Scientist and draw a card. Deploy this card.
---
Passive - All of your Military Skill Icon are treated a Research Skill Icons instead. (They cannot be used as Military any more, Wild Skill Icon can still be either.)",Wild,Research
c03-02 Riker 05,Second Contact,Riker,Person,"William Boimler, Lt. jg","Lower Decker
Starfleet
Anomaly
Human
Spy","Development - Cost: 1 Dilithium, 1 Latinum, find 3 Person and beam them to the same Ship.
---
Support - After exhausting your Captain, discard a card to scan 1 Cargo. If the gained card is Beverage, draw it.
---
Clean-Up - If Brad Boimler, Lt. jg is in play, temporarily increase your hand size by 1.
---
Passive - Increase your hand size by 1.",Wild,2.0
c03-02 Riker 06,Second Contact,Riker,Ship,U.S.S. Zheng He,"Starfleet
Attack","Development - Cost: 5 Dilithium.
---
Play - Action, Attack: Deploy this ship. If the opponent has at least one Ship at a neutral Location, they take an Incident. Refresh your Captain.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Spend 1 Dilithium to recall this ship.","Military
Military",4.0
c03-02 Riker 07,Second Contact,Riker,Directive,Proximity Blast,"Attack
Weapon","Development - Cost: 3 Dilithium.
---
Play - Free, Attack: Dismiss an opponent Ship shrating a Location with one of your Ship. You may spend 2 Dilithium to draw 2 cards. If you do, your opponent takes an Incident.
---
Play - Free, Requires 5 Influence: Dismiss 3 Weapon beamed to the same Ship to take control of its neutral Location. Log this card.",-,Military
c03-02 Riker 08,Second Contact,Riker,Directive,Utilise,-,"Development - Cost: 1 Dilithium, 1 Latinum, find / recall and log Swooping In.
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,2.0
c03-02 Riker 09,Second Contact,Riker,Status,Gluonic Distortion,Anomaly,"Development - Cost: 3 Dilithium, have an Encounter in play.
---
Resupply - Exhaust this card and take an Incident.
---
Clean-Up - If this card is exhausted, shuffle your deck and log this card.
---
Passive - Your draw deck is face-up. When interacting with your deck you can choose and of its cards.
---
Special - When this card is enlisted, put it into play immediately.",-,4.0
c03-02 Riker 10,Second Contact,Riker,Cargo,Chateau Picard,Beverage,"Reserve
---
Play - Action: Spend 1 Latinum and discard a Directive to gain an Ally, including from the Junk. Junk a card from the Market.
---
Play - Free: Discard a Starfleet to return an Incident from your hand or Discard pile.
---
Clean-Up - Gain 1 Glory from the supply for each Beverage you have in play (max 3, excluding this card). Then, your opponent does the same for each Beverage they have in play (max 5).",-,-
c03-02 Riker 11,Second Contact,Riker,Cargo,Holodeck,"Starfleet
Hologram","Reserve
---
Play - Free: You may recall a Duty Officer. You may draw a card. Put a card on the top of your deck and junk a card from the Market.
---
Play - Action: Spend 1 Dilithium to duplicate a play operation of a Person / Cargo / Ally from your hand or Discard pile. If you have an NX-01 in play, gain 1 Research / Influence / Military / Glory.",-,-
c03-02 Riker 12,Second Contact,Riker,Person,Tactical Officer (U.S.S. Titan),"Starfleet
Security
Human","Reserve
---
Play - Action: Send an Away Team to a Location. You may beam a card from your hand to Staging Area to a deployed Ship. If you have another Starfleet in your Staging Area, you may promote this card to Duty Officer.
---
Passive - This card has 1 Military for each Person with Starfleet you have in play (max 3), excluding this card.","???
???
???",-
c03-02 Riker 13,Second Contact,Riker,Person,Chief Engineer (U.S.S. Titan),"Starfleet
Engineer
Human","Reserve
---
Play - Free: Find a Ship and gain 1 Dilithium.
---
Play - Action: Discard a Ship to scan for a Weapon and draw a card.
---
Passive - While this card is exhausted, all your other Person with Starfleet are additionally treaded as Weapon.
---
Activation - Discard a card to discard the top cards of your draw deck and gain 1 Glory.",-,-
c03-02 Riker 14,Second Contact,Riker,Person,"Brad Boimler, Lt. jg","Lower Decker
Starfleet
Human
Ops","Reserve
---
Play - Free: Spend all your remaining Actions (possibly none). For Each Action spent this way, draw a card; then draw one additional card. Free play one of the drawn cards.
---
Support - After promoting a Person, duplicate a play operation of that card.
---
Activation - Action: Discard a card with Research Skill and take an Incident to enlist a Development.",Research,-
c03-02 Riker 15,Second Contact,Riker,Person,Deanna Troi-Riker,"Starfleet
Betazoid
Telepath
Human","Available
---
Play - Free: Look at the top card of your deck. You may return it to the top OR discard it OR log it.
---
Passive - You may treat any Incident's play operation as ""Play - Action: Discard a card to return this card. If you do, you may draw a card"".
---
Activation - Refresh your Captain.",Influence,-
c03-02 Riker 16,Second Contact,Riker,Person,First Officer (U.S.S. Titan),"Starfleet
Ops","Available
---
Play - Free: If you have a Scientist in play, you may spend 2 Dilithium to gain an Action. If you have a Weapon in play, gain 1 Military. You may exhaust your Captain to recall a card beamed to a Ship.
---
Activation - Action: Gain a Cargo.",Military,-
c03-02 Riker 17,Second Contact,Riker,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c03-02 Riker 18,Second Contact,Riker,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c03-02 Riker 19,Second Contact,Riker,Directive,Analyse,-,"Available
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c03-02 Riker 20,Second Contact,Riker,Incident,Hostile Contact,-,"Available
---
Play - Action: Discard a card to return this card. If the discarded card has Military gain, 2 Dilithium.
---
Play - Action: If you have a Communication in play, return this card and gain 2 Dilithium.",-,-2.0
c03-02 Riker 21,Second Contact,Riker,Directive,"Warp in the Factor of 5, 6, 7, 8!",-,"Available
---
Play - Free: Draw 2 cards and discard one of the drawn cards. You may warp up to 3 Ships with Starfleet.
---
Play - Action: For each deployed Ship with Starfleet you have, send an Away Team to its Location.",-,-
c03-02 Riker 22,Second Contact,Riker,Location,Starbase 25,"Starfleet
Starbase","Available
---
Play - Action: Take control of this location.
---
Control - You may exhaust the U.S.S. Titan to gain 1 Influence. You may spend 1 Dilithium to send an Away Team here.
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Team on 1 or more controlled Location, draw a card.",-,-
c03-02 Riker 23,Second Contact,Riker,Directive,Swooping In,-,"Discard
---
Play - Action: Warp a Ship to a controlled Location, if able. Gain 1 Dilithium, and 1 Dilithium for each controlled Location you have in play. If you have more Research Skill Icon than Military Skill Icon in play (excluding beamed cards), gain 1 Research. Otherwise, gain 1 Military.",-,-
c03-02 Riker 24,Second Contact,Riker,Incident,Red Alert,-,"Discard
---
Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer.",-,-2.0
c03-02 Riker 25,Second Contact,Riker,Directive,The Riker Maneuver,-,"Discard
---
Play - Action: Dismiss a Duty Officer to send an Away Team to a Location. You may exhaust your Captain to promote this card to Duty Officer as if it is a PErson, then exhaust this card.
---
Activation - Choose up to 2 of the following: gain 2 Latinum OR free play a Directive / Person OR promote a Person from your hand to Duty Officer. Dismiss this card.",Wild,-
c03-02 Riker 26,Second Contact,Riker,Mission,Battling the Pakled,-,"Goal - Meet 2 of the following 3 criteria: have a Pakled logged OR have Military at 8+ OR have Influence at 4+.
---
Reward - Gain 3 Dilithium / Latinum. Up to twice, send an Away Team to a Location. If you meet all 3 criteria, gain 2 Glory.",-,3.0
c03-02 Riker 27,Second Contact,Riker,Mission,Spirit of Starfleet,-,"Goal - Have a Starfleet on duty, and have 5 cards with Research / Wild Skill in play (excluding beamed cards).
---
Reward - Gain an Action. Scan for Any Species of your choice (Name the species before scanning).",-,2.0
c03-02 Riker 28,Second Contact,Riker,Mission,Messages from Old Friends,-,"Goal - Have 4 different of Kilingon / Pilot / Doctor / Scientist / Synthetic in play.
---
Reward - Refresh your Captain. Take the bottom Encounter.",-,2.0
c03-03 Freeman 01,Second Contact,Freeman,Captain,Carol Freeman,"Starfleet
Human","Captain
---
Away Teams: 5
---
Reaction - After Gaining Research / Influence / Military, discard a Person to send an Away Team to the location of the U.S.S. Cerritos.
---
Reaction - After returning an Incident, warp the U.S.S. Cerritos.
---
Endgame - Score 1 for every 2 cards in your Log.",-,Endgame
c03-03 Freeman 02,Second Contact,Freeman,Ship,U.S.S. Cerritos,Starfleet,"Deployed
---
Play - Action: Deploy this ship. You may beam a card here from your hand or Discard pile. You may spend 1 Dilithium to gain 1 Research / Influence / Military, whichever is the lowest. Exhaust this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",-,-
c03-03 Freeman 03,Second Contact,Freeman,Ship,A Fleet of 30 California-Class Ships,Starfleet,"Development - Cost: 6 Dilithium.
---
Play - Action: Deploy and warp this ship. Refresh every deployed ship.
---
Passive - You may have an additional Person on duty.
---
Special - For the purposes of securing Location this ship counts as 2 tokens. This operation applies to the Bot as well.",Wild,3.0
c03-03 Freeman 04,Second Contact,Freeman,Ally,Apergosians,Anomaly,"Development - Cost: 3 Latinum.
---
Play - Action: Find a Person / Cargo, Duplicate one of the found card's play operations up to two times, ignoring any effect that would log this card. Then log the found card. Gain 2 Glory. Log this card.",-,3.0
c03-03 Freeman 05,Second Contact,Freeman,Person,T'Lyn,"Lower Decker
Starfleet
Scientist
Vulcan","Development - Cost: 2 Dilithium.
---
Support - After logging a card, either gain 2 Dilithium OR draw a card from your Discard pile. Then, you may either free play a Lower Decker OR promote a Lower Decker to Duty Officer from your hand or the Staging Area (can be this card).
---
Reaction - After gaining a card, except during your Resupply Step, gain 1 Research and you may spend 1 Dilithium to free play the gained card.",Research,2.0
c03-03 Freeman 06,Second Contact,Freeman,Directive,Strange New Worlds,-,"Development - Cost: Find 2 Starfleet and log both.
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",Research,2.0
c03-03 Freeman 07,Second Contact,Freeman,Cargo,T88 Diagnostic Tool,"Engineer
Ongoing","Development - Cost: 2 Dilithium.
---
Play - Free: You may refresh a Ship. Deploy this card.
---
Reaction - When you would gain a card, scan 2 of the same suit instead.",-,Research
c03-03 Freeman 08,Second Contact,Freeman,Location,The Farm,Doctor,"Development - Cost: 2 Latinum, 2 Dilithium.
---
Play - Action: Take control of this location.
---
Control - You may free play an Incident.
---
Activation - Beam a card here.
---
Activation - Requires 5 Research: Log all cards beamed here. If at least 2 of the logged cards have Anomaly, take the top Encounter and log this card.",Wild,1.0
c03-03 Freeman 09,Second Contact,Freeman,Person,Kayshon,"Starfleet
Security
Alien","Development - Cost: 2 Dilithium.
---
Play - Action: Draw a card. You may discard up to one of each of the following: Person, Cargo, Ship, Ally, Encounter, Incident. Gain 1 Glory for each card discarded this way. Promote this card to Duty Officer.
---
Activation - Requires 5 Military: Send an Away Team to a Location. Repeat this for each Spy your opponent has in play.",Military,2.0
c03-03 Freeman 10,Second Contact,Freeman,Person,Shaxs,"Starfleet
Security
Bajoran
Attack","Development - Cost: 2 Dilithium.
---
Play - Free: Log a Ship from your hand. Gain 2 Glory. You may return up to 2 Incident.
---
Activation - Attack: Remove an opponent Away Team from a neutral Location. Gain 1 Glory.
---
Special - After you log this card, draw it from your Log.","Military
Military",-
c03-03 Freeman 11,Second Contact,Freeman,Ship,U.S.S. Calsbad,Starfleet,"Reserve
---
Play - Action: Deploy this ship. You may beam a card here from your hand or Discard pile. You may spend 1 Dilithium to gain 1 Research / Influence / Military, whichever is the lowest. Exhaust this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",-,-
c03-03 Freeman 12,Second Contact,Freeman,Person,T'Ana,"Starfleet
Doctor","Reserve
---
Play - Free: Gain 1 Research. You may return an Incident from your Discard pile.
---
Reaction - After taking an Incident, return it, then put this card on the bottom of your deck and gain an Action
Passive - This card has 1 Research Skill.",???,-
c03-03 Freeman 13,Second Contact,Freeman,Person,Samanthan Rutherford,"Lower Decker
Starfleet
Synthetic
Engineer
Human","Reserve
---
Play - Action: Take an Incident to enlist a Development.
---
Support - After exhausting a Ship, refresh it and you may beam this card to it. If you have another Synthetic in play, gain 1 Glory.
---
Activation - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play. If you have another Engineer in play, you may discard a card to gain an Action.",-,-
c03-03 Freeman 14,Second Contact,Freeman,Person,D'Vana Tendi,"Lower Decker
Starfleet
Scientist
Weapon
Orion","Reserve
---
Play - Action, Requires 5 Influence: Spend 1 Latinum to scan for Orion and free play the gained card.
---
Support - After promoting a Lower Deck, gain 2 Research / Influence / Military and you may promote this card to Duty Officer.
---
Passive - You may spend Latinum as if it was Dilithium and vice versa. You may additionally have another person with Starfleet on duty.","Influence
Research",-
c03-03 Freeman 15,Second Contact,Freeman,Incident,Subspace Phenomenon,-,"Reserve
---
Play - Action: Discard a card to return this card. If the discarded card has Research draw 2 cards and discard one of them.
---
Play - Action: If you have a Time-Travel in play, return this card and draw 2 cards and discard one of them.",-,-2.0
c03-03 Freeman 16,Second Contact,Freeman,Directive,Second Contact,-,"Available
---
Play - Action: Draw a card. You may gain an Ally from the Junk. If your Reserve deck is empty, log this card; otherwise shuffle the gained card into your deck.",-,-
c03-03 Freeman 17,Second Contact,Freeman,Directive,Set a Course,-,"Available
---
Play - Action: Discard up to 3 Person to send the same number of Away Teams to the same Location.
---
Play - Free: Draw a card, then discard a card. Warp up to 2 of your Ship.",-,-
c03-03 Freeman 18,Second Contact,Freeman,Ship,Type 6A Shuttlecraft,Starfleet,"Available
---
Play - Action: Send an Away Team to a Location where you have a Ship. You may put this card on the top of your deck.
---
Play - Free: Gain 1 Dilithium. Then you may either: beam a card to a Ship OR recall a card beamed to a Ship.",-,-
c03-03 Freeman 19,Second Contact,Freeman,Location,Douglas Station,"Starfleet
Starbase","Available
---
Play - Action: Take control of this location.
---
Control - You may gain a Person. You may log a card from your hand or Discard pile.
---
Activation - If you have an Away Team here, draw a card. If you have 4+ Lower Decker in play, draw a card and gain 1 Dilithium.",-,-
c03-03 Freeman 20,Second Contact,Freeman,Ally,Dooplers,-,"Available
---
Play - Action: Take an Incident to your Discard pile. Gain an Ally. Gain 1 Influence. Then either: spend 1 Latinum OR shuffle this card into your deck.",-,-
c03-03 Freeman 21,Second Contact,Freeman,Directive,Anomaly Consolidation Day,Anomaly,"Available
---
Play - Action: Junk a card from the Market. You may take an Incident. You may discard an Incident to gain a Cargo.
---
Special - While this card is in your Staging Area, after resolving a support operation you may either: gain 2 Dilithium OR draw a card and discard a card.",-,-
c03-03 Freeman 22,Second Contact,Freeman,Person,Jack Ransom,"Starfleet
Human","Available
---
Play - Action: You may draw a non-Lower Decker card fro your Discard pile. Spend 1 Dilithium to send an Away Team to a controlled Location. You may discard a Lower Decker to trigger that card's control operation.
---
Activation - Put a card on top of your deck to gain a Person to your Discard pile.",-,-
c03-03 Freeman 23,Second Contact,Freeman,Person,Bradward Boimler,"Lower Decker
Starfleet
Human","Available
---
Play - Free: Spend all your remaining Actions (possibly none). For each Action spend this way, draw a card; then draw one additional card. Free play one of the draw cards.
---
Support - After promoting a Person, duplicate a play operation of that card.
---
Activation - Action: Dismiss 4 Lower Decker (one of them can be this card) and take an Incident to take the top Encounter.",-,-
c03-03 Freeman 24,Second Contact,Freeman,Person,Beckett Mariner,"Lower Decker
Starfleet
Human","Available
---
Play - Action: Take 2 Incident to gain a Ship and free play the gained card.
---
Support - After putting an Ally into play, gain 1 Latinum and send an Away Team to a Location where you have a Ship.
---
Activation - Action: Gain on one Specialty track for each matching Skill Icon you have in play (excluding beamed cards). If you gained 3+ Research / Influence / Military, dismiss this card.",-,-
c03-03 Freeman 25,Second Contact,Freeman,Incident,Red Alert,-,"Incident Deck
---
Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer.",-,-2.0
c03-03 Freeman 26,Second Contact,Freeman,Mission,Project Swing By,-,"Goal - Have 4 Ally on the same Ship, and at least two of Military / Influence / Research at 4+.
---
Reward - Gain 4 Dilithium and draw 4 cards. You may junk a card from the Market.",-,4.0
c03-03 Freeman 27,Second Contact,Freeman,Mission,Beta Shift,-,"Goat - Have 4 Person including at least 2 Lower Decker on the same Ship.
---
You may scan for an Anomaly. You may send an Away Team to a Location. Gain 2 Glory.",-,1.0
c03-03 Freeman 28,Second Contact,Freeman,Mission,Calling All Your Friends,-,"Goal - Have 5 Ship (deployed and/or beamed) at the same neutral Location.
---
Reward - Two times: Gain 1 Research / Influence / Military, which ever is lowest. Scan for either Research / Influence / Military Focus.",-,1.0
